Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Monday Apr 3,boxscore,ATL,@,NYM,L,0,6,,0-1,4,1.0,Robles,Krol,,3:13,D,44384,-,
2,Wednesday Apr 5,boxscore,ATL,@,NYM,W,3,1,12,1-1,2,1.0,Johnson,Montero,,3:51,N,28113,+,
3,Thursday Apr 6,boxscore,ATL,@,NYM,L,2,6,,1-2,3,1.0,Harvey,Garcia,,2:28,N,23100,-,
4,Friday Apr 7,boxscore,ATL,@,PIT,L,4,5,,1-3,4,2.0,Nova,Foltynewicz,Watson,3:18,D,36484,--,
5,Saturday Apr 8,boxscore,ATL,@,PIT,L,4,6,,1-4,5,2.0,Kuhl,Dickey,Watson,3:00,N,31756,---,
6,Sunday Apr 9,boxscore,ATL,@,PIT,L-wo,5,6,10,1-5,5,2.0,Vazquez,Ramirez,,3:14,D,22713,----,
7,Tuesday Apr 11,boxscore,ATL,@,MIA,L,4,8,,1-6,5,3.5,Straily,Colon,,2:54,N,36519,-----,
8,Wednesday Apr 12,boxscore,ATL,@,MIA,W,5,4,,2-6,5,3.5,Vizcaino,Ramos,Johnson,2:51,N,16808,+,
9,Friday Apr 14,boxscore,ATL,,SDP,W,5,2,,3-6,4,3.0,Teheran,Chacin,Johnson,2:57,N,41149,++,
10,Saturday Apr 15,boxscore,ATL,,SDP,W,4,2,,4-6,4,2.0,Dickey,Richard,Johnson,2:20,N,41149,+++,
11,Sunday Apr 16,boxscore,ATL,,SDP,W,9,2,,5-6,4,1.5,Colon,Cahill,,2:46,D,37147,++++,
12,Monday Apr 17,boxscore,ATL,,SDP,W-wo,5,4,,6-6,4,1.0,Johnson,Maurer,,2:48,N,24516,+++++,
13,Tuesday Apr 18,boxscore,ATL,,WSN,L,1,3,,6-7,4,2.0,Scherzer,Foltynewicz,Kelley,3:09,N,21834,-,
14,Wednesday Apr 19,boxscore,ATL,,WSN,L,4,14,,6-8,4,3.0,Ross,Teheran,,3:32,N,22101,--,
15,Thursday Apr 20,boxscore,ATL,,WSN,L,2,3,,6-9,4,4.0,Strasburg,Dickey,Kelley,2:41,N,27498,---,
16,Friday Apr 21,boxscore,ATL,@,PHI,L,3,4,,6-10,5,5.0,Hellickson,Colon,Neris,2:38,N,24189,----,
17,Saturday Apr 22,boxscore,ATL,@,PHI,L-wo,3,4,10,6-11,5,6.0,Gomez,Johnson,,3:32,N,31334,-----,
18,Sunday Apr 23,boxscore,ATL,@,PHI,L,2,5,,6-12,5,7.0,Rodriguez,Vizcaino,,2:38,D,28632,------,
19,Wednesday Apr 26,boxscore,ATL,@,NYM,W,8,2,,7-12,5,7.0,Teheran,Gsellman,,3:19,N,22819,+,
20,Thursday Apr 27,boxscore,ATL,@,NYM,W,7,5,,8-12,4,7.0,Dickey,Harvey,,2:56,D,23243,++,
