Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
47,Thursday May 23,boxscore,MIA,@,DET,W,5,2,,16-31,5,11.5,Kinley,Greene,Romo,2:58,D,17214,++++++,
48,Friday May 24,boxscore,MIA,@,WSN,L,10,12,,16-32,5,12.5,Barraclough,Anderson,Doolittle,3:59,N,29173,-,
49,Saturday May 25,boxscore,MIA,@,WSN,L,0,5,,16-33,5,13.5,Corbin,Alcantara,,2:25,D,33163,--,
50,Sunday May 26,boxscore,MIA,@,WSN,L,6,9,,16-34,5,13.5,Fedde,Smith,,3:06,D,26365,---,
51,Monday May 27,boxscore,MIA,@,WSN,W,3,2,,17-34,5,13.0,Urena,Barraclough,Romo,3:00,D,21048,+,
52,Tuesday May 28,boxscore,MIA,,SFG,W,11,3,,18-34,5,13.0,Richards,Samardzija,,2:51,N,6407,++,
53,Wednesday May 29,boxscore,MIA,,SFG,W,4,2,,19-34,5,13.0,Anderson,Bumgarner,Romo,2:38,N,6487,+++,
54,Thursday May 30,boxscore,MIA,,SFG,L,1,3,,19-35,5,13.0,Moronta,Conley,Smith,3:05,D,7371,-,
55,Friday May 31,boxscore,MIA,@,SDP,L,2,5,,19-36,5,13.0,Lucchesi,Smith,Yates,2:59,N,25019,--,
56,Saturday Jun 1,boxscore,MIA,@,SDP,W,9,3,,20-36,5,12.0,Urena,Margevicius,,2:43,N,26858,+,
57,Sunday Jun 2,boxscore,MIA,@,SDP,W,9,3,,21-36,5,11.0,Richards,Strahm,,3:04,D,31650,++,
58,Tuesday Jun 4,boxscore,MIA,@,MIL,W,16,0,,22-36,5,10.5,Lopez,Anderson,,3:12,N,25364,+++,
59,Wednesday Jun 5,boxscore,MIA,@,MIL,W,8,3,,23-36,5,10.5,Alcantara,Nelson,,3:04,N,26615,++++,
60,Thursday Jun 6,boxscore,MIA,@,MIL,L,1,5,,23-37,5,11.0,Peralta,Smith,Hader,2:47,D,25409,-,
61,Friday Jun 7,boxscore,MIA,,ATL,L,1,7,,23-38,5,12.0,Soroka,Urena,,2:42,N,8589,--,
62,Saturday Jun 8,boxscore,MIA,,ATL,L,0,1,,23-39,5,13.0,Teheran,Richards,Jackson,2:57,D,9771,---,
63,Sunday Jun 9,boxscore,MIA,,ATL,L,6,7,12,23-40,5,13.0,Winkler,Conley,Tomlin,4:26,D,10959,----,
64,Monday Jun 10,boxscore,MIA,,STL,L,1,4,,23-41,5,13.0,Wacha,Alcantara,Hicks,2:49,N,6585,-----,
65,Tuesday Jun 11,boxscore,MIA,,STL,L,1,7,,23-42,5,14.0,Hudson,Hernandez,,3:12,N,6308,------,
66,Wednesday Jun 12,boxscore,MIA,,STL,W,9,0,,24-42,5,14.0,Yamamoto,Mikolas,,2:34,N,7001,+,
67,Friday Jun 14,boxscore,MIA,,PIT,L,0,11,,24-43,5,15.5,Brault,Richards,,2:56,N,8340,-,
68,Saturday Jun 15,boxscore,MIA,,PIT,W,4,3,,25-43,5,14.5,Lopez,Hartlieb,Romo,2:46,N,11464,+,
69,Sunday Jun 16,boxscore,MIA,,PIT,L,4,5,,25-44,5,15.5,Rodriguez,Anderson,Vazquez,3:09,D,12472,-,
70,Monday Jun 17,boxscore,MIA,@,STL,L,0,5,,25-45,5,16.5,Mikolas,Hernandez,,2:39,N,41274,--,
71,Tuesday Jun 18,boxscore,MIA,@,STL,W,6,0,,26-45,5,15.5,Yamamoto,Flaherty,,2:43,N,41467,+,
72,Wednesday Jun 19,boxscore,MIA,@,STL,L-wo,1,2,11,26-46,5,16.5,Gant,Conley,,3:34,N,40126,-,
73,Thursday Jun 20,boxscore,MIA,@,STL,W,7,6,11,27-46,5,16.0,Garcia,Miller,Romo,4:31,N,42446,+,
74,Friday Jun 21,boxscore,MIA,@,PHI,W,2,1,,28-46,5,15.0,Alcantara,Nola,Romo,2:56,N,44420,++,
75,Saturday Jun 22,boxscore,MIA,@,PHI,W,5,3,,29-46,5,15.0,Brice,Morgan,Quijada,2:43,D,44722,+++,
76,Sunday Jun 23,boxscore,MIA,@,PHI,W,6,4,,30-46,5,15.0,Yamamoto,De Los Santos,Anderson,2:59,D,36749,++++,
77,Tuesday Jun 25,boxscore,MIA,,WSN,L,1,6,,30-47,5,15.5,Scherzer,Richards,,2:27,N,7327,-,
78,Wednesday Jun 26,boxscore,MIA,,WSN,L,5,7,,30-48,5,16.5,Corbin,Gallen,Doolittle,3:19,N,6276,--,
79,Thursday Jun 27,boxscore,MIA,,WSN,L,5,8,,30-49,5,16.5,Strasburg,Alcantara,,2:51,N,7751,---,
80,Friday Jun 28,boxscore,MIA,,PHI,W,6,2,,31-49,5,16.5,Hernandez,Velasquez,,2:56,N,9469,+,
81,Saturday Jun 29,boxscore,MIA,,PHI,W,9,6,,32-49,5,16.5,Garcia,Morgan,Romo,3:19,D,14774,++,
82,Sunday Jun 30,boxscore,MIA,,PHI,L,6,13,,32-50,5,16.5,Arrieta,Richards,,3:36,D,11742,-,
83,Tuesday Jul 2,boxscore,MIA,@,WSN,L-wo,2,3,,32-51,5,16.5,Doolittle,Quijada,,3:01,N,21361,--,
84,Wednesday Jul 3,boxscore,MIA,@,WSN,L,1,3,,32-52,5,17.5,Strasburg,Alcantara,Doolittle,3:07,N,25483,---,
85,Thursday Jul 4,boxscore,MIA,@,WSN,L,2,5,,32-53,5,18.5,Sanchez,Hernandez,Rodney,3:17,D,27350,----,
86,Friday Jul 5,boxscore,MIA,@,ATL,L-wo,0,1,,32-54,5,19.5,Jackson,Quijada,,3:00,N,41102,-----,
87,Saturday Jul 6,boxscore,MIA,@,ATL,W,5,4,,33-54,5,18.5,Smith,Fried,Romo,3:19,D,37216,+,
88,Sunday Jul 7,boxscore,MIA,@,ATL,L,3,4,,33-55,5,19.5,Keuchel,Richards,Jackson,3:02,D,30514,-,
89,Friday Jul 12,boxscore,MIA,,NYM,W,8,4,,34-55,5,19.5,Smith,Vargas,,2:57,N,11856,+,
90,Saturday Jul 13,boxscore,MIA,,NYM,L,2,4,,34-56,5,20.5,Syndergaard,Anderson,Diaz,3:05,N,12963,-,
