Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
86,Tuesday Jul 2,boxscore,ATL,,PHI,L,0,2,,50-36,1,up 4.5,Nola,Keuchel,Neris,2:48,N,40180,--,
87,Wednesday Jul 3,boxscore,ATL,,PHI,W,9,2,,51-36,1,up 5.5,Wilson,Pivetta,,2:36,N,40147,+,
88,Thursday Jul 4,boxscore,ATL,,PHI,W,12,6,,52-36,1,up 6.0,Minter,Eflin,,3:32,N,40633,++,
89,Friday Jul 5,boxscore,ATL,,MIA,W-wo,1,0,,53-36,1,up 6.5,Jackson,Quijada,,3:00,N,41102,+++,
90,Saturday Jul 6,boxscore,ATL,,MIA,L,4,5,,53-37,1,up 6.0,Smith,Fried,Romo,3:19,D,37216,-,
91,Sunday Jul 7,boxscore,ATL,,MIA,W,4,3,,54-37,1,up 6.0,Keuchel,Richards,Jackson,3:02,D,30514,+,
92,Friday Jul 12,boxscore,ATL,@,SDP,W,5,3,,55-37,1,up 6.0,Keuchel,Lamet,Jackson,3:03,N,34692,++,
93,Saturday Jul 13,boxscore,ATL,@,SDP,W,7,5,10,56-37,1,up 6.0,Newcomb,Perdomo,Jackson,4:05,N,43148,+++,
94,Sunday Jul 14,boxscore,ATL,@,SDP,W,4,1,,57-37,1,up 7.0,Soroka,Wingenter,Minter,3:15,D,34739,++++,
95,Monday Jul 15,boxscore,ATL,@,MIL,W,4,2,,58-37,1,up 7.5,Fried,Houser,Jackson,3:02,N,31850,+++++,
96,Tuesday Jul 16,boxscore,ATL,@,MIL,L,1,13,,58-38,1,up 6.5,Woodruff,Wilson,,3:29,N,31599,-,
97,Wednesday Jul 17,boxscore,ATL,@,MIL,L,4,5,,58-39,1,up 6.5,Anderson,Keuchel,Hader,3:07,D,36928,--,
98,Thursday Jul 18,boxscore,ATL,,WSN,L,4,13,,58-40,1,up 5.5,Strasburg,Wright,,3:44,N,39363,---,
99,Friday Jul 19,boxscore,ATL,,WSN,W-wo,4,3,,59-40,1,up 6.5,Jackson,Rodney,,3:30,N,39344,+,
100,Saturday Jul 20,boxscore,ATL,,WSN,L,3,5,,59-41,1,up 5.5,Sanchez,Soroka,Doolittle,3:14,N,42467,-,
101,Sunday Jul 21,boxscore,ATL,,WSN,W,7,1,,60-41,1,up 6.5,Gausman,Ross,,3:02,N,31848,+,
102,Tuesday Jul 23,boxscore,ATL,,KCR,L,4,5,,60-42,1,up 5.5,Hill,Swarzak,Kennedy,3:30,N,36570,-,
103,Wednesday Jul 24,boxscore,ATL,,KCR,L,0,2,,60-43,1,up 4.0,Keller,Teheran,Kennedy,2:43,N,38865,--,
104,Friday Jul 26,boxscore,ATL,@,PHI,W,9,2,,61-43,1,up 5.5,Newcomb,Arrieta,,3:02,N,31268,+,
105,Saturday Jul 27,boxscore,ATL,@,PHI,W,15,7,,62-43,1,up 6.5,Fried,Eflin,,3:34,N,39340,++,
106,Sunday Jul 28,boxscore,ATL,@,PHI,L,4,9,,62-44,1,up 5.5,Nola,Gausman,,3:13,D,37037,-,
107,Monday Jul 29,boxscore,ATL,@,WSN,L,3,6,,62-45,1,up 4.5,Corbin,Keuchel,,3:23,N,24292,--,
108,Tuesday Jul 30,boxscore,ATL,@,WSN,W,11,8,,63-45,1,up 5.5,Teheran,Fedde,,3:47,N,26566,+,
109,Wednesday Jul 31,boxscore,ATL,@,WSN,W,5,4,10,64-45,1,up 6.5,Newcomb,Doolittle,Tomlin,3:14,D,31576,++,
110,Thursday Aug 1,boxscore,ATL,,CIN,W,4,1,6,65-45,1,up 7.0,Fried,DeSclafani,,2:08,N,28677,+++,
111,Friday Aug 2,boxscore,ATL,,CIN,L,2,5,,65-46,1,up 6.0,Wood,Gausman,Iglesias,3:01,N,37743,-,
112,Saturday Aug 3,boxscore,ATL,,CIN,W-wo,5,4,10,66-46,1,up 7.0,Jackson,Hughes,,3:47,N,42085,+,
113,Sunday Aug 4,boxscore,ATL,,CIN,L,4,6,10,66-47,1,up 7.0,Stephenson,Greene,Hernandez,3:54,D,33083,-,
114,Monday Aug 5,boxscore,ATL,@,MIN,L-wo,3,5,,66-48,1,up 6.0,May,Martin,,3:01,N,26722,--,
115,Tuesday Aug 6,boxscore,ATL,@,MIN,W,12,7,,67-48,1,up 6.0,Foltynewicz,Berrios,,3:27,N,36721,+,
116,Wednesday Aug 7,boxscore,ATL,@,MIN,W,11,7,,68-48,1,up 6.0,Fried,Perez,,3:33,D,35682,++,
117,Thursday Aug 8,boxscore,ATL,@,MIA,L,2,9,,68-49,1,up 5.5,Hernandez,Keuchel,,3:04,N,8948,-,
118,Friday Aug 9,boxscore,ATL,@,MIA,W,8,4,,69-49,1,up 6.5,Teheran,Smith,,3:19,N,8057,+,
119,Saturday Aug 10,boxscore,ATL,@,MIA,L-wo,6,7,10,69-50,1,up 6.5,Brigham,Newcomb,,3:34,N,29720,-,
120,Sunday Aug 11,boxscore,ATL,@,MIA,W,5,4,,70-50,1,up 6.5,Foltynewicz,Noesi,Jackson,3:23,D,12338,+,
121,Tuesday Aug 13,boxscore,ATL,,NYM,W,5,3,,71-50,1,up 6.0,Fried,Wheeler,Melancon,3:18,N,27627,++,
122,Wednesday Aug 14,boxscore,ATL,,NYM,W,6,4,,72-50,1,up 6.0,Martin,Lugo,Blevins,3:15,N,23582,+++,
123,Thursday Aug 15,boxscore,ATL,,NYM,L,8,10,,72-51,1,up 5.5,Stroman,Teheran,Diaz,3:33,N,25424,-,
124,Friday Aug 16,boxscore,ATL,,LAD,L,3,8,,72-52,1,up 4.5,Kolarek,Newcomb,Urias,3:06,N,41413,--,
125,Saturday Aug 17,boxscore,ATL,,LAD,W,4,3,,73-52,1,up 5.5,Newcomb,Ryu,Melancon,3:17,N,43619,+,
126,Sunday Aug 18,boxscore,ATL,,LAD,W,5,3,,74-52,1,up 5.5,Swarzak,May,Melancon,3:11,D,37617,++,
127,Tuesday Aug 20,boxscore,ATL,,MIA,W,5,1,,75-52,1,up 6.0,Keuchel,Kinley,,3:00,N,21271,+++,
128,Wednesday Aug 21,boxscore,ATL,,MIA,W,5,0,,76-52,1,up 6.0,Teheran,Smith,,2:44,N,23537,++++,
129,Thursday Aug 22,boxscore,ATL,,MIA,W-wo,3,2,,77-52,1,up 6.0,Melancon,Stanek,,2:40,N,23967,+++++,
130,Friday Aug 23,boxscore,ATL,@,NYM,W,2,1,14,78-52,1,up 6.0,Jackson,Familia,Melancon,4:37,N,31437,++++++,
131,Saturday Aug 24,boxscore,ATL,@,NYM,W,9,5,,79-52,1,up 6.0,Tomlin,Brach,,3:14,N,38300,+++++++,
132,Sunday Aug 25,boxscore,ATL,@,NYM,W,2,1,,80-52,1,up 6.0,Keuchel,Matz,Melancon,2:45,D,30170,++++++++,
133,Monday Aug 26,boxscore,ATL,@,COL,L-wo,1,3,,80-53,1,up 5.5,Diaz,Swarzak,,3:27,D,29803,-,
134,Tuesday Aug 27,boxscore,ATL,@,TOR,L,1,3,,80-54,1,up 5.5,Godley,Soroka,Giles,2:57,N,24578,--,
135,Wednesday Aug 28,boxscore,ATL,@,TOR,W,9,4,,81-54,1,up 5.5,Jackson,Waguespack,,3:33,N,23112,+,
136,Friday Aug 30,boxscore,ATL,,CHW,W,10,7,,82-54,1,up 5.5,Fried,Nova,Melancon,3:28,N,39097,++,
137,Saturday Aug 31,boxscore,ATL,,CHW,W,11,5,,83-54,1,up 5.5,Keuchel,Lopez,,3:52,N,36664,+++,
138,Sunday Sep 1,boxscore,ATL,,CHW,W,5,3,,84-54,1,up 5.5,Teheran,Giolito,Melancon,3:08,N,41397,++++,
139,Monday Sep 2,boxscore,ATL,,TOR,W,6,3,,85-54,1,up 6.5,Soroka,Waguespack,Melancon,2:52,D,28987,+++++,
140,Tuesday Sep 3,boxscore,ATL,,TOR,W,7,2,,86-54,1,up 6.5,Foltynewicz,Font,,2:46,N,25427,++++++,
141,Thursday Sep 5,boxscore,ATL,,WSN,W,4,2,,87-54,1,up 8.0,Fried,Strasburg,,2:57,N,28831,+++++++,
142,Friday Sep 6,boxscore,ATL,,WSN,W,4,3,,88-54,1,up 9.0,Keuchel,Corbin,Greene,3:20,N,37181,++++++++,
143,Saturday Sep 7,boxscore,ATL,,WSN,W,5,4,,89-54,1,up10.0,Teheran,Voth,Melancon,3:29,N,40467,+++++++++,
144,Sunday Sep 8,boxscore,ATL,,WSN,L,4,9,,89-55,1,up 9.0,Scherzer,Soroka,,3:16,D,31789,-,
145,Monday Sep 9,boxscore,ATL,@,PHI,W,7,2,,90-55,1,up 9.5,Foltynewicz,Nola,,2:47,N,25071,+,
146,Tuesday Sep 10,boxscore,ATL,@,PHI,L,5,6,,90-56,1,up 9.5,Parker,Fried,Neris,3:06,N,24220,-,
147,Wednesday Sep 11,boxscore,ATL,@,PHI,W,3,1,,91-56,1,up 9.5,Keuchel,Eflin,Melancon,3:31,N,23243,+,
148,Thursday Sep 12,boxscore,ATL,@,PHI,L,5,9,,91-57,1,up 8.5,Hughes,Teheran,Neris,3:35,N,27022,-,
149,Friday Sep 13,boxscore,ATL,@,WSN,W,5,0,,92-57,1,up 9.5,Soroka,Scherzer,,3:16,N,39730,+,
150,Saturday Sep 14,boxscore,ATL,@,WSN,W,10,1,,93-57,1,up10.5,Foltynewicz,Suero,,3:29,D,39664,++,
151,Sunday Sep 15,boxscore,ATL,@,WSN,L,0,7,,93-58,1,up 9.5,Sanchez,Fried,,3:03,D,29350,-,
152,Tuesday Sep 17,boxscore,ATL,,PHI,L,4,5,,93-59,1,up 9.0,Velasquez,Keuchel,Neris,3:26,N,28843,--,
153,Wednesday Sep 18,boxscore,ATL,,PHI,L,1,4,,93-60,1,up 9.0,Eflin,Teheran,Neris,2:59,N,27937,---,
154,Thursday Sep 19,boxscore,ATL,,PHI,W,5,4,,94-60,1,up 9.5,Soroka,Nola,Melancon,3:10,D,33223,+,
155,Friday Sep 20,boxscore,ATL,,SFG,W,6,0,,95-60,1,up 9.5,Foltynewicz,Beede,,2:21,N,37419,++,
156,Saturday Sep 21,boxscore,ATL,,SFG,W,8,1,,96-60,1,up 9.5,Fried,Cueto,,2:35,N,40899,+++,
157,Sunday Sep 22,boxscore,ATL,,SFG,L,1,4,,96-61,1,up 9.5,Webb,Keuchel,Smith,3:07,D,33674,-,
158,Tuesday Sep 24,boxscore,ATL,@,KCR,L,6,9,,96-62,1,up 7.5,Duffy,Teheran,,3:28,N,16688,--,
159,Wednesday Sep 25,boxscore,ATL,@,KCR,W,10,2,,97-62,1,up 7.5,Jackson,Barnes,,3:31,N,16931,+,
160,Friday Sep 27,boxscore,ATL,@,NYM,L,2,4,,97-63,1,up 6.0,Stroman,Keuchel,Lugo,3:09,N,26264,-,
161,Saturday Sep 28,boxscore,ATL,@,NYM,L,0,3,,97-64,1,up 5.0,Matz,Foltynewicz,Diaz,2:33,N,32210,--,
162,Sunday Sep 29,boxscore,ATL,@,NYM,L-wo,6,7,11,97-65,1,up 4.0,Mazza,Dayton,,3:44,D,31523,---,
