Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
26,Saturday Apr 27,boxscore,ATL,,COL,L,5,9,,12-14,3,2.5,Shaw,Minter,,2:58,N,38243,---,
27,Sunday Apr 28,boxscore,ATL,,COL,W,8,7,,13-14,3,2.5,Webb,Oh,Jackson,3:47,D,33919,+,
28,Monday Apr 29,boxscore,ATL,,SDP,W,3,1,,14-14,2,2.0,Soroka,Margevicius,Webb,2:33,N,19353,++,
29,Tuesday Apr 30,boxscore,ATL,,SDP,L,3,4,,14-15,3,2.0,Paddack,Teheran,Yates,2:42,N,18626,-,
30,Wednesday May 1,boxscore,ATL,,SDP,W,5,1,,15-15,2,2.0,Fried,Quantrill,,2:39,N,20394,+,
31,Thursday May 2,boxscore,ATL,,SDP,L,2,11,,15-16,3,2.5,Strahm,Foltynewicz,,2:53,D,23746,-,
32,Friday May 3,boxscore,ATL,@,MIA,W,7,2,,16-16,2,2.5,Toussaint,Urena,,3:08,N,7198,+,
33,Saturday May 4,boxscore,ATL,@,MIA,W,9,2,,17-16,2,1.5,Soroka,Anderson,,3:15,N,10229,++,
34,Sunday May 5,boxscore,ATL,@,MIA,W,3,1,10,18-16,2,1.5,Tomlin,Guerrero,Jackson,3:29,D,11885,+++,
35,Monday May 6,boxscore,ATL,@,LAD,L,3,5,,18-17,2,1.5,Buehler,Gausman,Urias,2:45,N,43393,-,
36,Tuesday May 7,boxscore,ATL,@,LAD,L,0,9,,18-18,2,2.5,Ryu,Fried,,2:42,N,47337,--,
37,Wednesday May 8,boxscore,ATL,@,LAD,L,4,9,,18-19,2,3.5,Kershaw,Foltynewicz,,2:58,N,53707,---,
38,Thursday May 9,boxscore,ATL,@,ARI,L-wo,2,3,10,18-20,2,4.0,Duplantier,Minter,,3:13,N,17751,----,
39,Friday May 10,boxscore,ATL,@,ARI,W,2,1,,19-20,2,3.0,Winkler,Lopez,Jackson,3:00,N,21932,+,
40,Saturday May 11,boxscore,ATL,@,ARI,W,6,4,,20-20,2,3.0,Gausman,Kelly,Venters,3:09,N,33168,++,
41,Sunday May 12,boxscore,ATL,@,ARI,W,5,3,,21-20,2,3.0,Fried,Godley,Jackson,3:21,D,27460,+++,
42,Tuesday May 14,boxscore,ATL,,STL,L,3,14,,21-21,2,3.5,Flaherty,Foltynewicz,,3:00,N,23718,-,
43,Wednesday May 15,boxscore,ATL,,STL,W,4,0,,22-21,2,2.5,Soroka,Wacha,Jackson,2:40,N,23367,+,
44,Thursday May 16,boxscore,ATL,,STL,W,10,2,,23-21,2,1.5,Teheran,Wainwright,,3:16,N,28783,++,
45,Friday May 17,boxscore,ATL,,MIL,W,12,8,,24-21,2,1.5,Fried,Chacin,Jackson,3:25,N,36222,+++,
46,Saturday May 18,boxscore,ATL,,MIL,W-wo,4,3,10,25-21,2,1.5,Webb,Hader,,3:34,N,39121,++++,
47,Sunday May 19,boxscore,ATL,,MIL,L,2,3,10,25-22,2,2.5,Hader,Parsons,,2:44,D,36548,-,
48,Monday May 20,boxscore,ATL,@,SFG,W,4,1,,26-22,2,2.5,Soroka,Suarez,Newcomb,2:23,N,29815,+,
49,Tuesday May 21,boxscore,ATL,@,SFG,L-wo,3,4,,26-23,2,2.5,Gott,Jackson,,3:16,N,28030,-,
50,Wednesday May 22,boxscore,ATL,@,SFG,W,9,2,,27-23,2,1.5,Fried,Samardzija,,2:48,N,31402,+,
51,Thursday May 23,boxscore,ATL,@,SFG,W,5,4,13,28-23,2,1.5,Jackson,Moronta,,4:21,D,32463,++,
52,Friday May 24,boxscore,ATL,@,STL,W,5,2,,29-23,2,1.5,Foltynewicz,Mikolas,,2:44,N,44630,+++,
53,Saturday May 25,boxscore,ATL,@,STL,L,3,6,,29-24,2,2.5,Miller,Winkler,Hicks,2:40,N,45760,-,
54,Sunday May 26,boxscore,ATL,@,STL,W,4,3,10,30-24,2,1.5,Webb,Webb,Jackson,4:07,N,45152,+,
55,Tuesday May 28,boxscore,ATL,,WSN,L,4,5,,30-25,2,2.5,Strasburg,Fried,Doolittle,3:21,N,27573,-,
56,Wednesday May 29,boxscore,ATL,,WSN,L,4,14,,30-26,2,3.5,Sanchez,Gausman,McGowin,3:11,N,37726,--,
