Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
60,Friday Jun 9,boxscore,TEX,@,WSN,W,5,2,,28-32,4,14.0,Cashner,Roark,Bush,3:00,N,38332,+,
61,Saturday Jun 10,boxscore,TEX,@,WSN,W,6,3,11,29-32,4,14.0,Kela,Kelley,,4:14,D,32157,++,
62,Sunday Jun 11,boxscore,TEX,@,WSN,W,5,1,,30-32,3,13.0,Bibens-Dirkx,Scherzer,,2:53,D,32027,+++,
63,Monday Jun 12,boxscore,TEX,@,HOU,W,6,1,,31-32,2,12.0,Darvish,Musgrove,,3:23,N,25698,++++,
64,Tuesday Jun 13,boxscore,TEX,@,HOU,W,4,2,,32-32,2,11.0,Leclerc,Gregerson,Bush,3:07,N,27615,+++++,
65,Wednesday Jun 14,boxscore,TEX,@,HOU,L,2,13,,32-33,3,12.0,Martes,Cashner,,3:37,N,37221,-,
66,Friday Jun 16,boxscore,TEX,,SEA,W,10,4,,33-33,2,11.0,Ross,Paxton,,3:07,N,33960,+,
67,Saturday Jun 17,boxscore,TEX,,SEA,W,10,4,,34-33,2,11.0,Perez,Gallardo,,2:54,D,35928,++,
68,Sunday Jun 18,boxscore,TEX,,SEA,L,3,7,,34-34,2,11.0,Bergman,Darvish,,3:43,D,31552,-,
69,Monday Jun 19,boxscore,TEX,,TOR,L,6,7,,34-35,2,12.0,Beliveau,Bush,Osuna,3:48,N,25115,--,
70,Tuesday Jun 20,boxscore,TEX,,TOR,W,6,1,,35-35,2,12.0,Martinez,Liriano,,3:06,N,24169,+,
71,Wednesday Jun 21,boxscore,TEX,,TOR,L,5,7,,35-36,3,13.0,Biagini,Ross,Osuna,3:20,N,28376,-,
72,Thursday Jun 22,boxscore,TEX,,TOR,W,11,4,,36-36,3,13.0,Perez,Stroman,,3:07,D,26764,+,
73,Friday Jun 23,boxscore,TEX,@,NYY,L-wo,1,2,10,36-37,3,13.0,Shreve,Bush,,3:32,N,39602,-,
74,Saturday Jun 24,boxscore,TEX,@,NYY,W,8,1,,37-37,3,13.0,Bibens-Dirkx,Cessa,,3:03,D,40225,+,
75,Sunday Jun 25,boxscore,TEX,@,NYY,W,7,6,,38-37,2,13.0,Martinez,Pineda,Bush,3:20,D,46625,++,
76,Monday Jun 26,boxscore,TEX,@,CLE,L,9,15,,38-38,3,13.5,Shaw,Scheppers,,3:37,N,17672,-,
77,Tuesday Jun 27,boxscore,TEX,@,CLE,W,2,1,,39-38,2,12.5,Kela,Allen,Bush,2:52,N,19348,+,
78,Wednesday Jun 28,boxscore,TEX,@,CLE,L,3,5,,39-39,3,13.5,Bauer,Darvish,,3:04,N,21200,-,
79,Thursday Jun 29,boxscore,TEX,@,CLE,L,1,5,,39-40,3,14.5,Kluber,Cashner,,2:41,D,23996,--,
80,Friday Jun 30,boxscore,TEX,@,CHW,L-wo,7,8,,39-41,4,14.5,Swarzak,Bush,,3:42,N,18838,---,
81,Saturday Jul 1,boxscore,TEX,@,CHW,W,10,4,,40-41,3,14.5,Hamels,Holland,,3:26,D,22915,+,
82,Sunday Jul 2,boxscore,TEX,@,CHW,L,5,6,,40-42,4,15.5,Robertson,Leclerc,,3:43,D,26206,-,
83,Monday Jul 3,boxscore,TEX,,BOS,L,5,7,11,40-43,4,16.0,Hembree,Frieri,,4:07,N,45448,--,
84,Tuesday Jul 4,boxscore,TEX,,BOS,L,4,11,,40-44,4,17.0,Price,Darvish,,3:56,N,43267,---,
85,Wednesday Jul 5,boxscore,TEX,,BOS,W,8,2,,41-44,3,17.0,Cashner,Fister,,2:52,N,32276,+,
86,Friday Jul 7,boxscore,TEX,,LAA,W,10,0,,42-44,2,16.5,Hamels,Nolasco,,2:49,N,40276,++,
87,Saturday Jul 8,boxscore,TEX,,LAA,W,5,2,,43-44,2,15.5,Ross,Chavez,,3:13,N,36817,+++,
88,Sunday Jul 9,boxscore,TEX,,LAA,L,0,3,,43-45,2,16.5,Ramirez,Darvish,Norris,3:08,D,28384,-,
89,Friday Jul 14,boxscore,TEX,@,KCR,W,5,3,,44-45,2,16.5,Perez,Minor,Claudio,2:58,N,35591,+,
90,Saturday Jul 15,boxscore,TEX,@,KCR,W,1,0,,45-45,2,15.5,Leclerc,Duffy,Claudio,2:32,N,32907,++,
91,Sunday Jul 16,boxscore,TEX,@,KCR,L-wo,3,4,,45-46,2,16.5,Herrera,Grilli,,3:11,D,23163,-,
92,Monday Jul 17,boxscore,TEX,@,BAL,L,1,3,,45-47,3,16.5,Bleier,Cashner,Brach,2:55,N,14922,--,
93,Tuesday Jul 18,boxscore,TEX,@,BAL,L,1,12,,45-48,3,17.5,Bundy,Ross,,3:23,N,18119,---,
94,Wednesday Jul 19,boxscore,TEX,@,BAL,L,2,10,,45-49,4,17.5,Gausman,Perez,,2:50,N,15693,----,
95,Thursday Jul 20,boxscore,TEX,@,BAL,L,7,9,,45-50,4,18.0,Castro,Hamels,,3:11,N,14691,-----,
96,Friday Jul 21,boxscore,TEX,@,TBR,W,4,3,10,46-50,3,18.0,Claudio,Boxberger,,3:10,N,24461,+,
97,Saturday Jul 22,boxscore,TEX,@,TBR,W,4,3,,47-50,3,18.0,Cashner,Archer,Claudio,2:56,N,20568,++,
98,Sunday Jul 23,boxscore,TEX,@,TBR,W,6,5,,48-50,2,17.0,Bush,Boxberger,Leclerc,3:54,D,16954,+++,
99,Monday Jul 24,boxscore,TEX,,MIA,L,0,4,,48-51,4,18.0,Conley,Perez,,2:34,N,24654,-,
100,Tuesday Jul 25,boxscore,TEX,,MIA,W,10,4,,49-51,3,18.0,Hamels,Straily,,2:54,N,25074,+,
101,Wednesday Jul 26,boxscore,TEX,,MIA,L,10,22,,49-52,3,18.0,Urena,Darvish,,4:02,N,26471,-,
102,Friday Jul 28,boxscore,TEX,,BAL,W,8,2,,50-52,2,18.0,Cashner,Tillman,,3:02,N,36270,+,
103,Saturday Jul 29,boxscore,TEX,,BAL,L,0,4,,50-53,3,18.0,Gausman,Bibens-Dirkx,Britton,3:08,N,44658,-,
104,Sunday Jul 30,boxscore,TEX,,BAL,L,6,10,,50-54,3,18.0,Miley,Perez,Britton,3:47,D,32437,--,
105,Monday Jul 31,boxscore,TEX,,SEA,L,4,6,,50-55,4,19.0,Phelps,Claudio,Diaz,3:16,N,22294,---,
106,Tuesday Aug 1,boxscore,TEX,,SEA,L,7,8,,50-56,4,19.0,Lawrence,Martinez,Diaz,3:30,N,21200,----,
107,Wednesday Aug 2,boxscore,TEX,,SEA,W,5,1,,51-56,4,18.0,Cashner,Miranda,,2:53,N,23041,+,
108,Thursday Aug 3,boxscore,TEX,@,MIN,W,4,1,,52-56,4,17.0,Griffin,Mejia,Claudio,3:04,N,22903,++,
109,Friday Aug 4,boxscore,TEX,@,MIN,L,4,8,,52-57,4,18.0,Colon,Perez,,3:03,N,22272,-,
110,Saturday Aug 5,boxscore,TEX,@,MIN,W,4,1,,53-57,4,17.0,Hamels,Gibson,,2:41,N,27415,+,
111,Sunday Aug 6,boxscore,TEX,@,MIN,L,5,6,,53-58,4,18.0,Berrios,Bibens-Dirkx,Belisle,2:53,D,29056,-,
112,Tuesday Aug 8,boxscore,TEX,@,NYM,L,4,5,,53-59,4,18.0,Flexen,Griffin,Ramos,2:51,N,37326,--,
113,Wednesday Aug 9,boxscore,TEX,@,NYM,W,5,1,,54-59,4,17.0,Perez,Montero,,3:07,D,34222,+,
114,Friday Aug 11,boxscore,TEX,,HOU,W,6,4,,55-59,4,15.5,Hamels,Morton,,3:22,N,33897,++,
115,Saturday Aug 12,boxscore,TEX,,HOU,W,8,3,,56-59,4,14.5,Ross,Fiers,,3:14,N,47306,+++,
116,Sunday Aug 13,boxscore,TEX,,HOU,L,1,2,,56-60,4,15.5,Keuchel,Cashner,Giles,3:04,D,31517,-,
117,Monday Aug 14,boxscore,TEX,,DET,W,6,2,,57-60,4,14.5,Perez,Fulmer,,2:56,N,21041,+,
118,Tuesday Aug 15,boxscore,TEX,,DET,W,10,4,,58-60,4,14.5,Griffin,Verlander,,3:23,N,20636,++,
119,Wednesday Aug 16,boxscore,TEX,,DET,W,12,6,,59-60,4,14.5,Hamels,Bell,,3:52,N,22713,+++,
120,Thursday Aug 17,boxscore,TEX,,CHW,W,9,8,,60-60,3,13.5,Bibens-Dirkx,Lopez,Claudio,3:49,N,23459,++++,
121,Friday Aug 18,boxscore,TEX,,CHW,L,3,4,,60-61,4,14.5,Infante,Rodriguez,Minaya,3:25,N,23402,-,
122,Saturday Aug 19,boxscore,TEX,,CHW,W,17,7,,61-61,4,14.5,Perez,Holland,,3:50,N,33441,+,
123,Sunday Aug 20,boxscore,TEX,,CHW,L,2,3,,61-62,4,14.5,Gonzalez,Griffin,Minaya,3:20,D,23861,-,
124,Monday Aug 21,boxscore,TEX,@,LAA,W,5,3,,62-62,4,14.0,Hamels,Skaggs,Claudio,3:11,N,35204,+,
125,Tuesday Aug 22,boxscore,TEX,@,LAA,L,1,10,,62-63,4,14.0,Middleton,Ross,,3:58,N,37033,-,
126,Wednesday Aug 23,boxscore,TEX,@,LAA,W,7,5,10,63-63,4,14.0,Claudio,Paredes,Barnette,3:41,N,35497,+,
127,Thursday Aug 24,boxscore,TEX,@,LAA,W,3,0,,64-63,4,13.0,Perez,Scribner,Rodriguez,2:46,N,34032,++,
128,Friday Aug 25,boxscore,TEX,@,OAK,L,1,3,,64-64,4,14.0,Graveman,Martinez,Treinen,2:26,N,14499,-,
129,Saturday Aug 26,boxscore,TEX,@,OAK,L,3,8,,64-65,4,14.0,Manaea,Hamels,,3:21,D,22471,--,
130,Sunday Aug 27,boxscore,TEX,@,OAK,L,3,8,,64-66,4,15.0,Cotton,Griffin,Treinen,3:20,D,16335,---,
131,Tuesday Aug 29,boxscore,TEX,@,HOU,W,12,2,,65-66,3,14.0,Perez,Fiers,,3:27,N,3485,+,
132,Wednesday Aug 30,boxscore,TEX,@,HOU,W,8,1,,66-66,3,13.0,Cashner,Keuchel,,2:52,N,6123,++,
133,Thursday Aug 31,boxscore,TEX,@,HOU,L,1,5,,66-67,3,14.0,Devenski,Martinez,Giles,3:02,D,3385,-,
134,Friday Sep 1,boxscore,TEX,,LAA,W,10,9,,67-67,3,13.5,Claudio,Bedrosian,,4:33,N,32240,+,
135,Saturday Sep 2,boxscore,TEX,,LAA,L,4,7,10,67-68,4,15.0,Petit,Leclerc,Parker,4:09,N,25138,-,
136,Sunday Sep 3,boxscore,TEX,,LAA,W,7,6,,68-68,4,15.0,Perez,Heaney,Barnette,3:49,D,28783,+,
137,Monday Sep 4,boxscore,TEX,@,ATL,W,8,2,,69-68,3,15.0,Cashner,Dickey,,2:50,N,23474,++,
138,Wednesday Sep 6 (1),boxscore,TEX,@,ATL,W,12,8,,70-68,3,16.0,Bibens-Dirkx,Gohara,,3:30,D,19971,+++,
139,Wednesday Sep 6 (2),boxscore,TEX,@,ATL,L,4,5,,70-69,3,16.0,Teheran,Hamels,Vizcaino,3:03,N,20364,-,
140,Friday Sep 8,boxscore,TEX,,NYY,W,11,5,,71-69,3,15.0,Perez,Tanaka,,3:23,N,35883,+,
141,Saturday Sep 9,boxscore,TEX,,NYY,L,1,3,,71-70,3,14.5,Robertson,Claudio,Chapman,2:57,D,38135,-,
142,Sunday Sep 10,boxscore,TEX,,NYY,L,7,16,,71-71,3,14.5,Green,Griffin,,3:43,D,31349,--,
143,Monday Sep 11,boxscore,TEX,,SEA,W,5,3,,72-71,3,14.0,Hamels,Miranda,Claudio,2:43,N,20686,+,
144,Tuesday Sep 12,boxscore,TEX,,SEA,L,3,10,,72-72,3,15.0,Gonzales,Gonzalez,,3:09,N,20557,-,
145,Wednesday Sep 13,boxscore,TEX,,SEA,L,1,8,,72-73,4,15.0,Leake,Perez,,3:08,N,23083,--,
146,Thursday Sep 14,boxscore,TEX,,SEA,L,4,10,,72-74,4,16.0,Albers,Cashner,,3:21,N,21931,---,
147,Friday Sep 15,boxscore,TEX,@,LAA,L,6,7,,72-75,4,17.0,Petit,Mendez,Parker,3:20,N,41409,----,
148,Saturday Sep 16,boxscore,TEX,@,LAA,L,0,2,,72-76,4,18.0,Bridwell,Hamels,Petit,2:45,N,40719,-----,
149,Sunday Sep 17,boxscore,TEX,@,LAA,W,4,2,,73-76,4,18.0,Gonzalez,Richards,Diekman,3:22,D,36709,+,
150,Tuesday Sep 19,boxscore,TEX,@,SEA,W,3,1,,74-76,3,18.0,Barnette,Vincent,Claudio,2:54,N,17251,++,
151,Wednesday Sep 20,boxscore,TEX,@,SEA,W,8,6,,75-76,3,18.0,Cashner,Hernandez,Claudio,3:27,N,15962,+++,
152,Thursday Sep 21,boxscore,TEX,@,SEA,W,4,2,,76-76,2,17.0,Hamels,Paxton,Kela,2:45,N,14849,++++,
153,Friday Sep 22,boxscore,TEX,@,OAK,L,1,4,,76-77,2,18.0,Graveman,Martinez,Treinen,2:37,N,13848,-,
154,Saturday Sep 23,boxscore,TEX,@,OAK,L,0,1,,76-78,2,19.0,Alcantara,Gonzalez,Treinen,2:38,N,38034,--,
155,Sunday Sep 24,boxscore,TEX,@,OAK,L,1,8,,76-79,3,19.0,Cotton,Perez,,2:45,D,18601,---,
156,Monday Sep 25,boxscore,TEX,,HOU,L,2,11,,76-80,3,20.0,McHugh,Cashner,,3:33,N,30390,----,
157,Tuesday Sep 26,boxscore,TEX,,HOU,L,3,14,,76-81,4,21.0,Keuchel,Hamels,,3:23,N,28976,-----,
158,Wednesday Sep 27,boxscore,TEX,,HOU,L,2,12,,76-82,4,22.0,Verlander,Martinez,,3:17,D,26053,------,
159,Thursday Sep 28,boxscore,TEX,,OAK,L,1,4,,76-83,4,23.0,Manaea,Gonzalez,Treinen,2:50,N,41664,-------,
160,Friday Sep 29,boxscore,TEX,,OAK,W,5,3,,77-83,3,23.0,Perez,Alcantara,Claudio,2:54,N,28459,+,
161,Saturday Sep 30,boxscore,TEX,,OAK,W,8,4,,78-83,3,22.0,Cashner,Gossett,,3:14,N,32759,++,
162,Sunday Oct 1,boxscore,TEX,,OAK,L,2,5,,78-84,3,23.0,Mengden,Hamels,Treinen,2:37,D,33961,-,
