Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
46,Saturday May 18,boxscore,HOU,@,BOS,W,7,3,,31-15,1,up 8.5,James,Velazquez,,3:31,N,36887,++++++++++,
47,Sunday May 19,boxscore,HOU,@,BOS,L,3,4,,31-16,1,up 8.5,Walden,Valdez,Workman,3:02,D,35796,-,
48,Monday May 20,boxscore,HOU,,CHW,W,3,0,,32-16,1,up 8.5,Peacock,Burr,Osuna,2:40,N,24364,+,
49,Tuesday May 21,boxscore,HOU,,CHW,W,5,1,,33-16,1,up 8.5,Verlander,Covey,,2:53,N,31392,++,
50,Wednesday May 22,boxscore,HOU,,CHW,L,4,9,,33-17,1,up 7.5,Nova,Cole,,3:16,N,30237,-,
51,Thursday May 23,boxscore,HOU,,CHW,L,0,4,,33-18,1,up 7.0,Giolito,Martin,,2:40,N,26073,--,
52,Friday May 24,boxscore,HOU,,BOS,W,4,3,,34-18,1,up 7.0,Miley,Sale,Osuna,2:48,N,35606,+,
53,Saturday May 25,boxscore,HOU,,BOS,W-wo,4,3,,35-18,1,up 7.0,Osuna,Barnes,,3:28,N,40722,++,
54,Sunday May 26,boxscore,HOU,,BOS,L,1,4,,35-19,1,up 6.0,Rodriguez,Verlander,Walden,3:06,D,41502,-,
55,Monday May 27,boxscore,HOU,,CHC,W,6,5,,36-19,1,up 6.0,Cole,Hamels,Osuna,3:12,D,42135,+,
56,Tuesday May 28,boxscore,HOU,,CHC,W,9,6,,37-19,1,up 7.0,James,Lester,Osuna,3:08,N,31030,++,
57,Wednesday May 29,boxscore,HOU,,CHC,L,1,2,,37-20,1,up 7.0,Hendricks,Miley,Cishek,2:37,N,33243,-,
58,Friday May 31,boxscore,HOU,@,OAK,W,3,2,,38-20,1,up 8.0,Rondon,Trivino,Osuna,2:52,N,14519,+,
59,Saturday Jun 1,boxscore,HOU,@,OAK,W,5,1,,39-20,1,up 8.5,Verlander,Anderson,,2:37,N,20425,++,
60,Sunday Jun 2,boxscore,HOU,@,OAK,W,6,4,12,40-20,1,up 8.5,James,Trivino,,4:24,D,23144,+++,
61,Monday Jun 3,boxscore,HOU,@,SEA,W,4,2,,41-20,1,up 9.0,Valdez,Gearrin,Pressly,2:49,N,11826,++++,
62,Tuesday Jun 4,boxscore,HOU,@,SEA,W,11,5,,42-20,1,up10.0,Guduan,Brennan,,3:21,N,12245,+++++,
63,Wednesday Jun 5,boxscore,HOU,@,SEA,L,1,14,,42-21,1,up 9.0,Leake,Peacock,,2:49,N,13653,-,
64,Thursday Jun 6,boxscore,HOU,@,SEA,W,8,7,14,43-21,1,up 9.0,Devenski,Festa,,5:06,D,20267,+,
65,Friday Jun 7,boxscore,HOU,,BAL,W-wo,4,3,11,44-21,1,up10.0,Perez,Kline,,3:13,N,35414,++,
66,Saturday Jun 8,boxscore,HOU,,BAL,L,1,4,,44-22,1,up 8.5,Fry,Harris,Castro,2:27,D,38425,-,
67,Sunday Jun 9,boxscore,HOU,,BAL,W,4,0,,45-22,1,up 9.5,Miley,Bundy,Osuna,2:46,D,35621,+,
68,Tuesday Jun 11,boxscore,HOU,,MIL,W,10,8,,46-22,1,up 9.0,Peacock,Peralta,,2:58,N,35928,++,
69,Wednesday Jun 12,boxscore,HOU,,MIL,L,3,6,14,46-23,1,up 9.0,Houser,Perez,,4:16,N,40032,-,
70,Friday Jun 14,boxscore,HOU,,TOR,W,15,2,,47-23,1,up 9.5,Cole,Sanchez,Armenteros,2:53,N,34719,+,
71,Saturday Jun 15,boxscore,HOU,,TOR,W,7,2,,48-23,1,up 9.5,Valdez,Richard,,2:26,D,38012,++,
72,Sunday Jun 16,boxscore,HOU,,TOR,L,0,12,,48-24,1,up 9.5,Thornton,Peacock,,3:02,D,42174,-,
73,Monday Jun 17,boxscore,HOU,@,CIN,L,2,3,,48-25,1,up 8.5,Castillo,Miley,Lorenzen,2:55,N,22745,--,
74,Tuesday Jun 18,boxscore,HOU,@,CIN,L,3,4,,48-26,1,up 8.5,DeSclafani,Verlander,Lorenzen,2:55,N,25347,---,
75,Wednesday Jun 19,boxscore,HOU,@,CIN,L-wo,2,3,,48-27,1,up 8.5,Bowman,Osuna,,2:38,D,24777,----,
76,Thursday Jun 20,boxscore,HOU,@,NYY,L,6,10,,48-28,1,up 7.5,Cortes,Valdez,Chapman,3:31,N,41030,-----,
77,Friday Jun 21,boxscore,HOU,@,NYY,L,1,4,,48-29,1,up 7.5,Paxton,Peacock,Chapman,3:06,N,41166,------,
78,Saturday Jun 22,boxscore,HOU,@,NYY,L,5,7,,48-30,1,up 6.5,Holder,Pressly,Britton,3:08,N,46034,-------,
79,Sunday Jun 23,boxscore,HOU,@,NYY,W,9,4,,49-30,1,up 6.5,Verlander,Happ,,2:48,D,46769,+,
80,Tuesday Jun 25,boxscore,HOU,,PIT,W,5,1,,50-30,1,up 6.5,Cole,Williams,,2:57,N,37193,++,
81,Wednesday Jun 26,boxscore,HOU,,PIT,L,2,14,,50-31,1,up 5.5,Agrazal,Valdez,,3:17,N,39312,-,
82,Thursday Jun 27,boxscore,HOU,,PIT,L,0,10,,50-32,1,up 4.5,Musgrove,Peacock,,2:51,D,38943,--,
83,Friday Jun 28,boxscore,HOU,,SEA,W-wo,2,1,10,51-32,1,up 4.5,Harris,Festa,,3:27,N,32828,+,
84,Saturday Jun 29,boxscore,HOU,,SEA,W-wo,6,5,10,52-32,1,up 5.5,Devenski,Elias,,3:38,N,35082,++,
85,Sunday Jun 30,boxscore,HOU,,SEA,W,6,1,,53-32,1,up 6.5,Cole,Gonzales,,2:52,D,32485,+++,
86,Tuesday Jul 2,boxscore,HOU,@,COL,W,9,8,,54-32,1,up 6.5,Harris,McGee,Osuna,3:27,N,47864,++++,
87,Wednesday Jul 3,boxscore,HOU,@,COL,W,4,2,,55-32,1,up 7.5,Miley,Lambert,Osuna,2:41,N,48308,+++++,
88,Friday Jul 5,boxscore,HOU,,LAA,L,4,5,,55-33,1,up 6.0,Pena,Verlander,Robles,2:54,N,41219,-,
89,Saturday Jul 6,boxscore,HOU,,LAA,W,4,0,,56-33,1,up 7.0,Cole,Heaney,,2:44,N,39470,+,
90,Sunday Jul 7,boxscore,HOU,,LAA,W-wo,11,10,10,57-33,1,up 7.0,Pressly,Cole,,4:49,D,37264,++,
91,Thursday Jul 11,boxscore,HOU,@,TEX,L,0,5,,57-34,1,up 6.5,Lynn,Valdez,,3:02,N,37964,-,
92,Friday Jul 12,boxscore,HOU,@,TEX,L-wo,8,9,,57-35,1,up 5.5,Kelley,Osuna,,3:07,N,32322,--,
93,Saturday Jul 13,boxscore,HOU,@,TEX,W,7,6,11,58-35,1,up 5.5,James,Martin,Osuna,4:09,N,42452,+,
94,Sunday Jul 14,boxscore,HOU,@,TEX,W,12,4,,59-35,1,up 5.5,Verlander,Jurado,,3:40,D,27916,++,
95,Monday Jul 15,boxscore,HOU,@,LAA,L,6,9,,59-36,1,up 5.0,Anderson,Valdez,Robles,3:25,N,35431,-,
96,Tuesday Jul 16,boxscore,HOU,@,LAA,L,2,7,,59-37,1,up 4.0,Ramirez,Rondon,,3:33,N,42678,--,
97,Wednesday Jul 17,boxscore,HOU,@,LAA,W,11,2,,60-37,1,up 4.0,Cole,Pena,,2:57,N,35738,+,
98,Thursday Jul 18,boxscore,HOU,@,LAA,W,6,2,,61-37,1,up 5.0,Miley,Harvey,,2:35,N,35928,++,
99,Friday Jul 19,boxscore,HOU,,TEX,W,4,3,,62-37,1,up 5.0,Verlander,Minor,Osuna,2:59,N,42287,+++,
100,Saturday Jul 20,boxscore,HOU,,TEX,W,6,1,,63-37,1,up 5.0,Urquidy,Jurado,,2:25,N,41643,++++,
101,Sunday Jul 21,boxscore,HOU,,TEX,W,5,3,,64-37,1,up 6.0,Armenteros,Lynn,Osuna,3:08,D,37655,+++++,
102,Monday Jul 22,boxscore,HOU,,OAK,W,11,1,,65-37,1,up 7.0,Cole,Bailey,,2:56,N,41534,++++++,
103,Tuesday Jul 23,boxscore,HOU,,OAK,L,3,4,11,65-38,1,up 6.0,Petit,McHugh,,3:14,N,39204,-,
104,Wednesday Jul 24,boxscore,HOU,,OAK,W,4,2,,66-38,1,up 7.0,Verlander,Bassitt,Osuna,2:42,D,41838,+,
105,Friday Jul 26,boxscore,HOU,@,STL,L,3,5,,66-39,1,up 7.5,Miller,Pressly,Martinez,3:09,N,44724,-,
106,Saturday Jul 27,boxscore,HOU,@,STL,W,8,2,,67-39,1,up 7.5,Cole,Ponce de Leon,,3:07,N,46518,+,
107,Sunday Jul 28,boxscore,HOU,@,STL,W,6,2,,68-39,1,up 7.5,Miley,Hudson,,3:24,D,46714,++,
108,Tuesday Jul 30,boxscore,HOU,@,CLE,W,2,0,,69-39,1,up 7.5,Verlander,Bieber,Osuna,2:44,N,21589,+++,
109,Wednesday Jul 31,boxscore,HOU,@,CLE,L,4,10,,69-40,1,up 7.5,Plesac,Urquidy,,3:10,N,23961,-,
110,Thursday Aug 1,boxscore,HOU,@,CLE,W,7,1,,70-40,1,up 7.5,Cole,Salazar,,3:10,N,21536,+,
111,Friday Aug 2,boxscore,HOU,,SEA,W,10,2,,71-40,1,up 8.0,Miley,Kikuchi,,2:57,N,41444,++,
112,Saturday Aug 3,boxscore,HOU,,SEA,W,9,0,,72-40,1,up 8.0,Sanchez,Gonzales,,3:02,N,37059,+++,
113,Sunday Aug 4,boxscore,HOU,,SEA,W,3,1,,73-40,1,up 8.0,Verlander,Milone,Osuna,2:56,D,39667,++++,
114,Tuesday Aug 6,boxscore,HOU,,COL,W,11,6,,74-40,1,up 8.5,Greinke,Gonzalez,,3:09,N,43243,+++++,
115,Wednesday Aug 7,boxscore,HOU,,COL,W,14,3,,75-40,1,up 9.5,Cole,Lambert,,3:05,D,35566,++++++,
116,Friday Aug 9,boxscore,HOU,@,BAL,W,3,2,,76-40,1,up 9.5,Miley,Bundy,Osuna,2:58,N,19407,+++++++,
117,Saturday Aug 10,boxscore,HOU,@,BAL,W,23,2,,77-40,1,up10.5,Sanchez,Brooks,,3:03,N,21903,++++++++,
118,Sunday Aug 11,boxscore,HOU,@,BAL,L-wo,7,8,,77-41,1,up 9.5,Bleier,Osuna,,3:51,D,17979,-,
119,Tuesday Aug 13 (1),boxscore,HOU,@,CHW,W,6,2,,78-41,1,up10.0,Greinke,Cease,,3:17,D,,+,
120,Tuesday Aug 13 (2),boxscore,HOU,@,CHW,L,1,4,,78-42,1,up10.0,Nova,Devenski,,2:21,D,19559,-,
121,Wednesday Aug 14,boxscore,HOU,@,CHW,L,9,13,,78-43,1,up 9.0,Colome,Pressly,,3:30,D,18899,--,
122,Thursday Aug 15,boxscore,HOU,@,OAK,L,6,7,,78-44,1,up 8.0,Diekman,Devenski,Hendriks,2:35,N,15323,---,
123,Friday Aug 16,boxscore,HOU,@,OAK,L-wo,2,3,13,78-45,1,up 7.0,Trivino,Sneed,,4:13,N,22768,----,
124,Saturday Aug 17,boxscore,HOU,@,OAK,L,4,8,,78-46,1,up 6.0,Bassitt,Armenteros,,3:04,D,21428,-----,
125,Sunday Aug 18,boxscore,HOU,@,OAK,W,4,1,,79-46,1,up 7.0,Greinke,Anderson,Osuna,2:50,D,22372,+,
126,Monday Aug 19,boxscore,HOU,,DET,W,5,4,,80-46,1,up 7.5,Miley,Jackson,Osuna,3:13,N,40499,++,
127,Tuesday Aug 20,boxscore,HOU,,DET,W,6,3,,81-46,1,up 7.5,Peacock,Turnbull,Osuna,3:03,N,30143,+++,
128,Wednesday Aug 21,boxscore,HOU,,DET,L,1,2,,81-47,1,up 6.5,Farmer,Verlander,Jimenez,2:12,N,29567,-,
129,Thursday Aug 22,boxscore,HOU,,DET,W,6,3,,82-47,1,up 6.5,Cole,Zimmermann,Osuna,2:50,N,27220,+,
130,Friday Aug 23,boxscore,HOU,,LAA,W,5,4,,83-47,1,up 7.0,Greinke,Suarez,Osuna,3:07,N,35201,++,
131,Saturday Aug 24,boxscore,HOU,,LAA,W,5,2,,84-47,1,up 8.0,Miley,Peters,Harris,3:03,N,37862,+++,
132,Sunday Aug 25,boxscore,HOU,,LAA,W,11,2,,85-47,1,up 9.0,Valdez,Barria,,2:59,D,38989,++++,
133,Tuesday Aug 27,boxscore,HOU,,TBR,W,15,1,,86-47,1,up 8.5,Verlander,Morton,,3:10,N,28454,+++++,
134,Wednesday Aug 28,boxscore,HOU,,TBR,W,8,6,,87-47,1,up 9.5,Harris,Castillo,,3:09,N,25539,++++++,
135,Thursday Aug 29,boxscore,HOU,,TBR,L,8,9,,87-48,1,up 8.5,De Leon,Devenski,Pagan,4:06,D,33051,-,
136,Friday Aug 30,boxscore,HOU,@,TOR,W,7,4,,88-48,1,up 8.5,McHugh,Thornton,,3:22,N,25289,+,
137,Saturday Aug 31,boxscore,HOU,@,TOR,L,4,6,,88-49,1,up 8.5,Buchholz,Valdez,Giles,3:04,D,26414,-,
138,Sunday Sep 1,boxscore,HOU,@,TOR,W,2,0,,89-49,1,up 9.5,Verlander,Giles,,2:29,D,24104,+,
139,Monday Sep 2,boxscore,HOU,@,MIL,W,3,2,10,90-49,1,up10.0,Osuna,Guerra,James,3:35,D,39046,++,
140,Tuesday Sep 3,boxscore,HOU,@,MIL,L,2,4,,90-50,1,up 9.0,Lyles,Greinke,Hader,2:41,N,29335,-,
141,Thursday Sep 5,boxscore,HOU,,SEA,W-wo,11,9,13,91-50,1,up 8.5,James,Wisler,,4:40,N,27822,+,
