Day of Week,Month,Day,Year,Time,D/N,HomeTeam,Attendance
Sunday,Aug,4,2019,3:27,D,TEX,18531
Thursday,Aug,15,2019,3:18,N,TEX,20494
Friday,Aug,16,2019,3:12,N,TEX,24742
Saturday,Aug,17,2019,3:30,N,TEX,30136
Sunday,Aug,18,2019,3:49,D,TEX,18500
Monday,Aug,19,2019,4:35,N,TEX,17326
Tuesday,Aug,20,2019,2:48,D,TEX,17429
Tuesday,Aug,20,2019,3:36,N,TEX,15638
Wednesday,Aug,21,2019,3:46,N,TEX,19565
Thursday,Aug,29,2019,3:09,N,TEX,16591
Friday,Aug,30,2019,2:45,N,TEX,23563
Saturday,Aug,31,2019,2:49,N,TEX,33668
Sunday,Sep,1,2019,3:39,D,TEX,22116
Tuesday,Sep,10,2019,3:45,N,TEX,18467
Wednesday,Sep,11,2019,4:09,N,TEX,19746
Thursday,Sep,12,2019,3:16,N,TEX,18222
Friday,Sep,13,2019,3:28,N,TEX,27813
Saturday,Sep,14,2019,3:47,N,TEX,31928
Sunday,Sep,15,2019,3:10,D,TEX,26064
Tuesday,Sep,17,2019,2:45,N,HOU,39650
Wednesday,Sep,18,2019,2:35,N,HOU,38417
Tuesday,Sep,24,2019,3:59,N,TEX,23341
Wednesday,Sep,25,2019,3:18,N,TEX,29290
Thursday,Sep,26,2019,3:02,D,TEX,24612
Friday,Sep,27,2019,3:37,N,TEX,35168
Saturday,Sep,28,2019,3:17,N,TEX,42870
Sunday,Sep,29,2019,2:47,D,TEX,47144
Monday,Apr,3,2017,2:29,N,HOU,41678
Tuesday,Apr,4,2017,2:41,N,HOU,21406
Wednesday,Apr,5,2017,4:25,N,HOU,20303
Thursday,Apr,6,2017,2:57,N,HOU,18362
Friday,Apr,7,2017,3:12,N,HOU,30491
Saturday,Apr,8,2017,2:42,N,HOU,35373
Sunday,Apr,9,2017,3:49,D,HOU,32411
Monday,Apr,17,2017,2:36,N,HOU,23501
Tuesday,Apr,18,2017,3:05,N,HOU,21760
Wednesday,Apr,19,2017,2:47,N,HOU,24028
Thursday,Apr,20,2017,2:37,D,HOU,23173
Friday,Apr,28,2017,2:58,N,HOU,28472
Saturday,Apr,29,2017,2:49,N,HOU,32147
Sunday,Apr,30,2017,2:58,D,HOU,34880
Monday,May,1,2017,2:59,N,HOU,22556
Tuesday,May,2,2017,3:13,N,HOU,26208
Wednesday,May,3,2017,3:01,N,HOU,27439
Thursday,May,4,2017,3:52,D,HOU,27391
Tuesday,May,9,2017,2:41,N,HOU,28724
Wednesday,May,10,2017,2:49,D,HOU,23676
Monday,May,15,2017,2:57,N,MIA,16448
Tuesday,May,16,2017,3:00,N,MIA,18056
Wednesday,May,17,2017,2:52,D,MIA,24699
Friday,May,19,2017,3:02,N,HOU,36446
Saturday,May,20,2017,2:35,D,HOU,34698
Sunday,May,21,2017,3:06,D,HOU,33476
Monday,May,22,2017,2:45,N,HOU,22146
Tuesday,May,23,2017,3:01,N,HOU,23179
Wednesday,May,24,2017,2:52,N,HOU,26481
Thursday,May,25,2017,3:30,N,HOU,25046
Friday,May,26,2017,2:31,N,HOU,31380
Saturday,May,27,2017,2:56,N,HOU,32761
Sunday,May,28,2017,2:58,D,HOU,34720
Friday,Jun,2,2017,2:58,N,TEX,39729
Saturday,Jun,3,2017,3:46,N,TEX,44168
Sunday,Jun,4,2017,3:18,D,TEX,39204
Friday,Jun,9,2017,3:20,N,HOU,40786
Saturday,Jun,10,2017,2:52,D,HOU,41296
Sunday,Jun,11,2017,3:39,D,HOU,32425
Monday,Jun,12,2017,3:23,N,HOU,25698
Tuesday,Jun,13,2017,3:07,N,HOU,27615
Wednesday,Jun,14,2017,3:37,N,HOU,37221
Friday,Jun,16,2017,3:11,N,HOU,36189
Saturday,Jun,17,2017,2:34,N,HOU,41017
Sunday,Jun,18,2017,4:08,N,HOU,38389
Tuesday,Jun,27,2017,3:30,N,HOU,28312
Wednesday,Jun,28,2017,3:27,N,HOU,34075
Thursday,Jun,29,2017,3:08,D,HOU,29509
Friday,Jun,30,2017,3:20,N,HOU,40024
Saturday,Jul,1,2017,3:25,N,HOU,41010
Sunday,Jul,2,2017,3:29,D,HOU,41761
Tuesday,Jul,4,2017,3:39,N,ATL,41456
Wednesday,Jul,5,2017,3:21,N,ATL,37278
Friday,Jul,14,2017,3:42,N,HOU,38006
Saturday,Jul,15,2017,3:21,N,HOU,41038
Sunday,Jul,16,2017,2:47,D,HOU,38253
Monday,Jul,17,2017,3:49,N,HOU,24701
Tuesday,Jul,18,2017,3:02,N,HOU,27111
Wednesday,Jul,19,2017,2:51,D,HOU,35191
Monday,Jul,31,2017,3:24,N,HOU,24154
Tuesday,Aug,1,2017,3:27,N,HOU,22985
Wednesday,Aug,2,2017,3:06,N,HOU,26722
Thursday,Aug,3,2017,3:23,N,HOU,23404
Friday,Aug,4,2017,3:05,N,HOU,39287
Saturday,Aug,5,2017,3:16,N,HOU,41950
Sunday,Aug,6,2017,3:16,D,HOU,36300
Friday,Aug,11,2017,3:22,N,TEX,33897
Saturday,Aug,12,2017,3:14,N,TEX,47306
Sunday,Aug,13,2017,3:04,D,TEX,31517
Wednesday,Aug,16,2017,3:17,N,HOU,27278
Thursday,Aug,17,2017,2:48,D,HOU,27949
Friday,Aug,18,2017,2:47,N,HOU,30908
Saturday,Aug,19,2017,2:47,N,HOU,32796
Sunday,Aug,20,2017,3:17,D,HOU,34011
Tuesday,Aug,22,2017,3:05,N,HOU,23798
Wednesday,Aug,23,2017,2:48,N,HOU,23434
Thursday,Aug,24,2017,3:47,N,HOU,24761
Tuesday,Aug,29,2017,3:27,N,HOU,3485
Wednesday,Aug,30,2017,2:52,N,HOU,6123
Thursday,Aug,31,2017,3:02,D,HOU,3385
Saturday,Sep,2,2017,3:27,D,HOU,30319
Saturday,Sep,2,2017,3:15,N,HOU,34904
Sunday,Sep,3,2017,3:14,D,HOU,32065
Friday,Sep,15,2017,3:12,N,HOU,28328
Saturday,Sep,16,2017,3:21,D,HOU,33650
Sunday,Sep,17,2017,2:50,D,HOU,30247
Tuesday,Sep,19,2017,2:47,N,HOU,23293
Wednesday,Sep,20,2017,3:08,N,HOU,24995
Thursday,Sep,21,2017,3:17,N,HOU,24283
Friday,Sep,22,2017,3:00,N,HOU,34127
Saturday,Sep,23,2017,2:38,D,HOU,34035
Sunday,Sep,24,2017,3:49,N,HOU,36756
Monday,Sep,25,2017,3:33,N,TEX,30390
Tuesday,Sep,26,2017,3:23,N,TEX,28976
Wednesday,Sep,27,2017,3:17,D,TEX,26053
Thursday,Mar,29,2018,2:59,D,TEX,47253
Friday,Mar,30,2018,3:02,N,TEX,35469
Saturday,Mar,31,2018,3:19,D,TEX,36892
Sunday,Apr,1,2018,3:13,D,TEX,26758
Monday,Apr,2,2018,2:52,N,HOU,42675
Tuesday,Apr,3,2018,3:19,N,HOU,40081
Wednesday,Apr,4,2018,2:42,D,HOU,27698
Friday,Apr,6,2018,3:11,N,HOU,41138
Saturday,Apr,7,2018,3:27,N,HOU,42306
Sunday,Apr,8,2018,2:25,D,HOU,37093
Friday,Apr,13,2018,2:50,N,HOU,32129
Saturday,Apr,14,2018,3:26,D,HOU,40679
Sunday,Apr,15,2018,3:06,N,HOU,31803
Monday,Apr,23,2018,2:59,N,HOU,29606
Tuesday,Apr,24,2018,3:48,N,HOU,36457
Wednesday,Apr,25,2018,2:44,D,HOU,29777
Friday,Apr,27,2018,2:30,N,HOU,32636
Saturday,Apr,28,2018,3:14,N,HOU,41493
Sunday,Apr,29,2018,2:46,D,HOU,39131
Monday,Apr,30,2018,2:31,N,HOU,30061
Tuesday,May,1,2018,2:57,N,HOU,34386
Wednesday,May,2,2018,2:31,N,HOU,31617
Thursday,May,3,2018,3:11,D,HOU,34838
Friday,May,11,2018,3:08,N,HOU,34297
Saturday,May,12,2018,2:37,N,HOU,36482
Sunday,May,13,2018,2:52,D,HOU,39405
Friday,May,18,2018,2:50,N,HOU,35959
Saturday,May,19,2018,3:09,D,HOU,39926
Sunday,May,20,2018,2:48,N,HOU,30770
Tuesday,May,22,2018,3:05,N,HOU,35638
Wednesday,May,23,2018,2:56,D,HOU,31929
Thursday,May,31,2018,2:57,N,HOU,30658
Friday,Jun,1,2018,2:55,N,HOU,37244
Saturday,Jun,2,2018,3:41,N,HOU,38640
Sunday,Jun,3,2018,3:25,N,HOU,33431
Tuesday,Jun,5,2018,2:29,N,HOU,35646
Wednesday,Jun,6,2018,3:14,N,HOU,30361
Thursday,Jun,7,2018,2:36,N,TEX,30236
Friday,Jun,8,2018,3:02,N,TEX,31722
Saturday,Jun,9,2018,3:31,N,TEX,38068
Sunday,Jun,10,2018,3:09,D,TEX,30251
Monday,Jun,18,2018,2:57,N,HOU,34151
Tuesday,Jun,19,2018,3:19,N,HOU,37414
Wednesday,Jun,20,2018,2:32,N,HOU,43409
Friday,Jun,22,2018,3:09,N,HOU,39357
Saturday,Jun,23,2018,3:55,N,HOU,40028
Sunday,Jun,24,2018,3:04,D,HOU,41823
Monday,Jun,25,2018,3:10,N,HOU,28791
Tuesday,Jun,26,2018,2:42,N,HOU,38700
Wednesday,Jun,27,2018,2:55,D,HOU,39191
Tuesday,Jul,3,2018,3:27,N,TEX,40165
Wednesday,Jul,4,2018,3:33,N,TEX,43592
Thursday,Jul,5,2018,3:05,N,HOU,34955
Friday,Jul,6,2018,2:55,N,HOU,38153
Saturday,Jul,7,2018,3:19,D,HOU,39568
Sunday,Jul,8,2018,2:28,D,HOU,41654
Monday,Jul,9,2018,2:56,N,HOU,28301
Tuesday,Jul,10,2018,4:03,N,HOU,34585
Wednesday,Jul,11,2018,3:13,N,HOU,41119
Thursday,Jul,12,2018,3:21,D,HOU,38900
Friday,Jul,13,2018,2:44,N,HOU,38843
Saturday,Jul,14,2018,2:42,D,HOU,40405
Sunday,Jul,15,2018,2:28,D,HOU,39455
Friday,Jul,27,2018,3:23,N,HOU,42592
Saturday,Jul,28,2018,2:44,N,HOU,43093
Sunday,Jul,29,2018,3:01,D,HOU,40560
Thursday,Aug,9,2018,3:36,N,HOU,34976
Friday,Aug,10,2018,2:48,N,HOU,41236
Saturday,Aug,11,2018,2:56,N,HOU,38888
Sunday,Aug,12,2018,3:10,D,HOU,40048
Tuesday,Aug,14,2018,3:08,N,HOU,35813
Wednesday,Aug,15,2018,2:43,N,HOU,29967
Monday,Aug,27,2018,3:16,N,HOU,43171
Tuesday,Aug,28,2018,3:21,N,HOU,33136
Wednesday,Aug,29,2018,3:27,D,HOU,32926
Thursday,Aug,30,2018,3:20,N,HOU,30371
Friday,Aug,31,2018,3:18,N,HOU,35675
Saturday,Sep,1,2018,3:16,N,HOU,41622
Sunday,Sep,2,2018,3:40,N,HOU,41506
Monday,Sep,3,2018,2:59,D,HOU,39559
Tuesday,Sep,4,2018,2:58,N,HOU,31315
Wednesday,Sep,5,2018,3:21,N,HOU,31011
Friday,Sep,14,2018,3:36,N,HOU,36924
Saturday,Sep,15,2018,3:17,N,HOU,38345
Sunday,Sep,16,2018,3:09,D,HOU,37889
Monday,Sep,17,2018,3:02,N,HOU,43144
Tuesday,Sep,18,2018,2:55,N,HOU,35715
Wednesday,Sep,19,2018,2:47,N,HOU,31229
Friday,Sep,21,2018,2:56,N,HOU,39977
Saturday,Sep,22,2018,4:04,N,HOU,41822
Sunday,Sep,23,2018,3:11,D,HOU,43247
Monday,Apr,1,2019,2:39,N,TEX,18056
Tuesday,Apr,2,2019,3:23,N,TEX,17907
Wednesday,Apr,3,2019,2:39,N,TEX,22265
Friday,Apr,5,2019,3:03,N,HOU,43165
Saturday,Apr,6,2019,2:47,N,HOU,34487
Sunday,Apr,7,2019,3:39,D,HOU,34902
Monday,Apr,8,2019,2:59,N,HOU,27631
Tuesday,Apr,9,2019,3:15,N,HOU,31009
Wednesday,Apr,10,2019,3:30,N,HOU,27685
Friday,Apr,19,2019,3:16,N,TEX,35649
Saturday,Apr,20,2019,2:51,N,TEX,39636
Sunday,Apr,21,2019,3:16,D,TEX,26225
Monday,Apr,22,2019,3:25,N,HOU,34518
Tuesday,Apr,23,2019,3:04,N,HOU,29409
Wednesday,Apr,24,2019,2:28,N,HOU,26582
Thursday,Apr,25,2019,2:40,N,HOU,24948
Friday,Apr,26,2019,3:19,N,HOU,38084
Saturday,Apr,27,2019,3:12,D,HOU,38667
Sunday,Apr,28,2019,2:48,N,HOU,31025
Monday,May,6,2019,2:57,N,HOU,27079
Tuesday,May,7,2019,2:45,N,HOU,30377
Wednesday,May,8,2019,2:45,N,HOU,22698
Thursday,May,9,2019,2:58,N,HOU,26657
Friday,May,10,2019,2:29,N,HOU,33023
Saturday,May,11,2019,3:15,N,HOU,35849
Sunday,May,12,2019,3:08,D,HOU,41027
Monday,May,20,2019,2:40,N,HOU,24364
Tuesday,May,21,2019,2:53,N,HOU,31392
Wednesday,May,22,2019,3:16,N,HOU,30237
Thursday,May,23,2019,2:40,N,HOU,26073
Friday,May,24,2019,2:48,N,HOU,35606
Saturday,May,25,2019,3:28,N,HOU,40722
Sunday,May,26,2019,3:06,D,HOU,41502
Monday,May,27,2019,3:12,D,HOU,42135
Tuesday,May,28,2019,3:08,N,HOU,31030
Wednesday,May,29,2019,2:37,N,HOU,33243
Friday,Jun,7,2019,3:13,N,HOU,35414
Saturday,Jun,8,2019,2:27,D,HOU,38425
Sunday,Jun,9,2019,2:46,D,HOU,35621
Tuesday,Jun,11,2019,2:58,N,HOU,35928
Wednesday,Jun,12,2019,4:16,N,HOU,40032
Friday,Jun,14,2019,2:53,N,HOU,34719
Saturday,Jun,15,2019,2:26,D,HOU,38012
Sunday,Jun,16,2019,3:02,D,HOU,42174
Tuesday,Jun,25,2019,2:57,N,HOU,37193
Wednesday,Jun,26,2019,3:17,N,HOU,39312
Thursday,Jun,27,2019,2:51,D,HOU,38943
Friday,Jun,28,2019,3:27,N,HOU,32828
Saturday,Jun,29,2019,3:38,N,HOU,35082
Sunday,Jun,30,2019,2:52,D,HOU,32485
Friday,Jul,5,2019,2:54,N,HOU,41219
Saturday,Jul,6,2019,2:44,N,HOU,39470
Sunday,Jul,7,2019,4:49,D,HOU,37264
Thursday,Jul,11,2019,3:02,N,TEX,37964
Friday,Jul,12,2019,3:07,N,TEX,32322
Saturday,Jul,13,2019,4:09,N,TEX,42452
Sunday,Jul,14,2019,3:40,D,TEX,27916
Friday,Jul,19,2019,2:59,N,HOU,42287
Saturday,Jul,20,2019,2:25,N,HOU,41643
Sunday,Jul,21,2019,3:08,D,HOU,37655
Monday,Jul,22,2019,2:56,N,HOU,41534
Tuesday,Jul,23,2019,3:14,N,HOU,39204
Wednesday,Jul,24,2019,2:42,D,HOU,41838
Friday,Aug,2,2019,2:57,N,HOU,41444
Saturday,Aug,3,2019,3:02,N,HOU,37059
Sunday,Aug,4,2019,2:56,D,HOU,39667
Tuesday,Aug,6,2019,3:09,N,HOU,43243
Wednesday,Aug,7,2019,3:05,D,HOU,35566
Monday,Aug,19,2019,3:13,N,HOU,40499
Tuesday,Aug,20,2019,3:03,N,HOU,30143
Wednesday,Aug,21,2019,2:12,N,HOU,29567
Thursday,Aug,22,2019,2:50,N,HOU,27220
Friday,Aug,23,2019,3:07,N,HOU,35201
Saturday,Aug,24,2019,3:03,N,HOU,37862
Sunday,Aug,25,2019,2:59,D,HOU,38989
Tuesday,Aug,27,2019,3:10,N,HOU,28454
Wednesday,Aug,28,2019,3:09,N,HOU,25539
Thursday,Aug,29,2019,4:06,D,HOU,33051
Thursday,Sep,5,2019,4:40,N,HOU,27822
Friday,Sep,6,2019,3:31,N,HOU,33149
Saturday,Sep,7,2019,2:56,N,HOU,41958
Sunday,Sep,8,2019,2:50,D,HOU,35569
Monday,Sep,9,2019,2:42,N,HOU,38289
Tuesday,Sep,10,2019,3:20,N,HOU,32100
Wednesday,Sep,11,2019,2:57,N,HOU,32938
Thursday,Sep,12,2019,3:39,N,HOU,34024
Tuesday,Sep,17,2019,2:45,N,HOU,39650
Wednesday,Sep,18,2019,2:35,N,HOU,38417
Friday,Sep,20,2019,2:49,N,HOU,40106
Saturday,Sep,21,2019,3:23,N,HOU,43264
Sunday,Sep,22,2019,3:32,D,HOU,43169
Tuesday,Apr,11,2017,2:54,N,MIA,36519
Wednesday,Apr,12,2017,2:51,N,MIA,16808
Thursday,Apr,13,2017,5:38,N,MIA,23192
Friday,Apr,14,2017,3:26,N,MIA,24194
Saturday,Apr,15,2017,2:30,N,MIA,25137
Sunday,Apr,16,2017,2:58,D,MIA,20028
Friday,Apr,28,2017,3:31,N,MIA,19690
Saturday,Apr,29,2017,2:31,N,MIA,33152
Sunday,Apr,30,2017,3:36,D,MIA,26245
Monday,May,1,2017,3:14,N,MIA,16096
Tuesday,May,2,2017,3:22,N,MIA,16011
Monday,May,8,2017,2:47,N,MIA,16750
Tuesday,May,9,2017,2:56,N,MIA,17166
Wednesday,May,10,2017,3:46,N,MIA,18614
Friday,May,12,2017,3:11,N,MIA,20052
Saturday,May,13,2017,2:49,N,MIA,26692
Sunday,May,14,2017,2:27,D,MIA,17277
Monday,May,15,2017,2:57,N,MIA,16448
Tuesday,May,16,2017,3:00,N,MIA,18056
Wednesday,May,17,2017,2:52,D,MIA,24699
Friday,May,26,2017,3:13,N,MIA,18346
Saturday,May,27,2017,3:03,D,MIA,19366
Sunday,May,28,2017,3:28,D,MIA,20444
Monday,May,29,2017,2:37,N,MIA,17032
Tuesday,May,30,2017,3:07,N,MIA,16241
Wednesday,May,31,2017,3:16,D,MIA,15197
Thursday,Jun,1,2017,3:00,N,MIA,16433
Friday,Jun,2,2017,3:00,N,MIA,17413
Saturday,Jun,3,2017,2:31,D,MIA,21548
Sunday,Jun,4,2017,3:32,D,MIA,20387
Tuesday,Jun,13,2017,2:57,N,MIA,19953
Wednesday,Jun,14,2017,3:31,D,MIA,19436
Friday,Jun,16,2017,2:44,N,ATL,38123
Saturday,Jun,17,2017,3:48,D,ATL,38661
Sunday,Jun,18,2017,2:53,D,ATL,36912
Monday,Jun,19,2017,3:31,N,MIA,20224
Tuesday,Jun,20,2017,3:02,N,MIA,20868
Wednesday,Jun,21,2017,2:39,D,MIA,22659
Thursday,Jun,22,2017,2:54,N,MIA,23472
Friday,Jun,23,2017,2:30,N,MIA,24684
Saturday,Jun,24,2017,2:55,D,MIA,25448
Sunday,Jun,25,2017,2:51,D,MIA,25110
Tuesday,Jun,27,2017,3:03,N,MIA,20804
Wednesday,Jun,28,2017,2:57,N,MIA,18743
Thursday,Jun,29,2017,2:43,N,MIA,21350
Friday,Jul,14,2017,3:00,N,MIA,21858
Saturday,Jul,15,2017,3:19,N,MIA,22609
Sunday,Jul,16,2017,3:18,D,MIA,22119
Monday,Jul,17,2017,3:41,N,MIA,17146
Tuesday,Jul,18,2017,2:41,N,MIA,18176
Wednesday,Jul,19,2017,3:04,D,MIA,31854
Monday,Jul,24,2017,2:34,N,TEX,24654
Tuesday,Jul,25,2017,2:54,N,TEX,25074
Wednesday,Jul,26,2017,4:02,N,TEX,26471
Thursday,Jul,27,2017,3:18,N,MIA,19986
Friday,Jul,28,2017,2:54,N,MIA,17440
Saturday,Jul,29,2017,2:32,N,MIA,20297
Sunday,Jul,30,2017,3:04,D,MIA,19747
Monday,Jul,31,2017,2:12,N,MIA,18962
Tuesday,Aug,1,2017,3:05,N,MIA,17742
Wednesday,Aug,2,2017,2:54,N,MIA,17890
Friday,Aug,4,2017,2:40,N,ATL,35914
Saturday,Aug,5,2017,2:58,N,ATL,40731
Sunday,Aug,6,2017,2:29,D,ATL,29651
Friday,Aug,11,2017,3:24,N,MIA,20096
Saturday,Aug,12,2017,3:07,N,MIA,20399
Sunday,Aug,13,2017,3:06,D,MIA,20769
Monday,Aug,14,2017,2:44,N,MIA,17096
Tuesday,Aug,15,2017,3:13,N,MIA,21694
Wednesday,Aug,16,2017,2:49,D,MIA,17102
Friday,Aug,25,2017,2:53,N,MIA,22489
Saturday,Aug,26,2017,3:53,N,MIA,19913
Sunday,Aug,27,2017,2:31,D,MIA,23725
Thursday,Aug,31,2017,3:09,N,MIA,17013
Friday,Sep,1,2017,2:44,N,MIA,17998
Saturday,Sep,2,2017,3:37,N,MIA,18262
Sunday,Sep,3,2017,3:46,D,MIA,19404
Monday,Sep,4,2017,3:10,N,MIA,17349
Tuesday,Sep,5,2017,2:50,N,MIA,15364
Wednesday,Sep,6,2017,3:02,N,MIA,14390
Thursday,Sep,7,2017,3:23,N,ATL,23561
Friday,Sep,8,2017,3:16,N,ATL,30056
Saturday,Sep,9,2017,3:21,N,ATL,34043
Sunday,Sep,10,2017,3:47,D,ATL,34974
Monday,Sep,18,2017,3:22,N,MIA,16385
Tuesday,Sep,19,2017,3:22,N,MIA,16405
Wednesday,Sep,20,2017,2:42,D,MIA,16033
Thursday,Sep,28,2017,3:06,N,MIA,17305
Friday,Sep,29,2017,3:08,N,MIA,19527
Saturday,Sep,30,2017,2:59,N,MIA,25264
Sunday,Oct,1,2017,3:19,D,MIA,25222
Thursday,Mar,29,2018,3:18,D,MIA,32151
Friday,Mar,30,2018,5:18,N,MIA,12034
Saturday,Mar,31,2018,3:57,N,MIA,13422
Sunday,Apr,1,2018,2:36,D,MIA,10428
Monday,Apr,2,2018,3:09,N,MIA,11113
Tuesday,Apr,3,2018,4:27,N,MIA,14953
Monday,Apr,9,2018,3:10,N,MIA,7003
Tuesday,Apr,10,2018,2:59,N,MIA,6516
Wednesday,Apr,11,2018,2:27,N,MIA,6150
Friday,Apr,13,2018,2:48,N,MIA,6852
Saturday,Apr,14,2018,2:31,N,MIA,26816
Sunday,Apr,15,2018,3:03,D,MIA,10621
Friday,Apr,27,2018,3:16,N,MIA,5931
Saturday,Apr,28,2018,2:44,N,MIA,9659
Sunday,Apr,29,2018,2:28,D,MIA,11203
Monday,Apr,30,2018,3:06,N,MIA,5415
Tuesday,May,1,2018,2:54,N,MIA,5844
Wednesday,May,2,2018,2:54,N,MIA,5941
Thursday,May,10,2018,3:00,N,MIA,8277
Friday,May,11,2018,2:42,N,MIA,9149
Saturday,May,12,2018,3:26,N,MIA,12383
Sunday,May,13,2018,2:50,D,MIA,7435
Tuesday,May,15,2018,2:54,N,MIA,6242
Wednesday,May,16,2018,3:01,N,MIA,5721
Thursday,May,17,2018,3:06,D,MIA,13820
Friday,May,18,2018,2:36,N,ATL,27705
Saturday,May,19,2018,2:28,N,ATL,37715
Sunday,May,20,2018,3:19,D,ATL,28352
Friday,May,25,2018,3:37,N,MIA,7512
Saturday,May,26,2018,2:56,D,MIA,11646
Sunday,May,27,2018,3:08,D,MIA,11651
Friday,Jun,8,2018,3:00,N,MIA,10654
Saturday,Jun,9,2018,3:07,D,MIA,12089
Sunday,Jun,10,2018,2:24,D,MIA,12984
Monday,Jun,11,2018,3:03,N,MIA,6023
Tuesday,Jun,12,2018,2:35,N,MIA,5928
Wednesday,Jun,13,2018,3:13,N,MIA,6075
Thursday,Jun,14,2018,4:49,D,MIA,9726
Monday,Jun,25,2018,3:14,N,MIA,6105
Tuesday,Jun,26,2018,3:24,N,MIA,6159
Wednesday,Jun,27,2018,2:52,N,MIA,6382
Thursday,Jun,28,2018,3:06,D,MIA,12715
Friday,Jun,29,2018,2:57,N,MIA,8211
Saturday,Jun,30,2018,2:23,D,MIA,10523
Sunday,Jul,1,2018,2:53,D,MIA,9611
Monday,Jul,2,2018,3:05,N,MIA,6004
Tuesday,Jul,3,2018,5:31,N,MIA,6259
Wednesday,Jul,4,2018,2:28,D,MIA,7572
Monday,Jul,9,2018,3:34,N,MIA,5996
Tuesday,Jul,10,2018,3:03,N,MIA,5624
Wednesday,Jul,11,2018,4:23,N,MIA,5265
Friday,Jul,13,2018,2:34,N,MIA,8090
Saturday,Jul,14,2018,3:00,D,MIA,14793
Sunday,Jul,15,2018,2:58,D,MIA,8829
Monday,Jul,23,2018,2:48,N,MIA,8259
Tuesday,Jul,24,2018,2:37,D,MIA,21673
Thursday,Jul,26,2018,3:14,N,MIA,8506
Friday,Jul,27,2018,2:45,N,MIA,9297
Saturday,Jul,28,2018,3:26,N,MIA,11779
Sunday,Jul,29,2018,2:46,D,MIA,12112
Monday,Jul,30,2018,2:49,N,ATL,21230
Tuesday,Jul,31,2018,2:53,N,ATL,18627
Monday,Aug,6,2018,3:04,N,MIA,8563
Tuesday,Aug,7,2018,2:34,N,MIA,7230
Wednesday,Aug,8,2018,2:42,N,MIA,7306
Friday,Aug,10,2018,2:44,N,MIA,6993
Saturday,Aug,11,2018,3:26,N,MIA,11478
Sunday,Aug,12,2018,2:56,D,MIA,8964
Monday,Aug,13,2018,2:39,D,ATL,16049
Monday,Aug,13,2018,2:58,N,ATL,18186
Tuesday,Aug,14,2018,2:52,N,ATL,19409
Wednesday,Aug,15,2018,2:50,N,ATL,19045
Tuesday,Aug,21,2018,4:14,N,MIA,26275
Wednesday,Aug,22,2018,3:25,N,MIA,25547
Thursday,Aug,23,2018,3:00,N,MIA,6587
Friday,Aug,24,2018,2:48,N,MIA,7792
Saturday,Aug,25,2018,2:54,N,MIA,7823
Sunday,Aug,26,2018,3:16,D,MIA,12770
Friday,Aug,31,2018,3:11,N,MIA,8871
Saturday,Sep,1,2018,2:37,N,MIA,11174
Sunday,Sep,2,2018,2:51,D,MIA,9617
Monday,Sep,3,2018,2:24,D,MIA,7771
Tuesday,Sep,4,2018,3:14,N,MIA,7131
Wednesday,Sep,5,2018,2:44,N,MIA,6427
Monday,Sep,17,2018,3:17,N,MIA,8440
Tuesday,Sep,18,2018,3:14,N,MIA,7726
Thursday,Sep,20,2018,2:41,N,MIA,9863
Friday,Sep,21,2018,2:36,N,MIA,11471
Saturday,Sep,22,2018,2:22,N,MIA,12559
Sunday,Sep,23,2018,2:30,D,MIA,13595
Thursday,Mar,28,2019,2:55,D,MIA,25423
Friday,Mar,29,2019,3:04,N,MIA,6503
Saturday,Mar,30,2019,3:00,N,MIA,7642
Sunday,Mar,31,2019,2:32,D,MIA,7559
Monday,Apr,1,2019,3:10,N,MIA,6489
Tuesday,Apr,2,2019,3:23,N,MIA,5934
Wednesday,Apr,3,2019,3:07,N,MIA,7486
Friday,Apr,5,2019,2:35,N,ATL,29218
Saturday,Apr,6,2019,3:16,N,ATL,35618
Sunday,Apr,7,2019,2:33,D,ATL,32551
Friday,Apr,12,2019,2:46,N,MIA,9322
Saturday,Apr,13,2019,3:01,N,MIA,13828
Sunday,Apr,14,2019,4:38,D,MIA,15238
Monday,Apr,15,2019,3:27,N,MIA,9888
Tuesday,Apr,16,2019,2:49,N,MIA,8137
Wednesday,Apr,17,2019,2:25,N,MIA,10247
Friday,Apr,19,2019,2:52,N,MIA,8199
Saturday,Apr,20,2019,3:12,N,MIA,9910
Sunday,Apr,21,2019,2:45,D,MIA,7412
Tuesday,Apr,30,2019,2:56,N,MIA,7247
Wednesday,May,1,2019,2:38,N,MIA,7262
Friday,May,3,2019,3:08,N,MIA,7198
Saturday,May,4,2019,3:15,N,MIA,10229
Sunday,May,5,2019,3:29,D,MIA,11885
Tuesday,May,14,2019,2:52,N,MIA,6306
Wednesday,May,15,2019,3:06,N,MIA,5947
Friday,May,17,2019,3:01,N,MIA,9870
Saturday,May,18,2019,2:38,D,MIA,13474
Sunday,May,19,2019,1:59,D,MIA,15983
Tuesday,May,28,2019,2:51,N,MIA,6407
Wednesday,May,29,2019,2:38,N,MIA,6487
Thursday,May,30,2019,3:05,D,MIA,7371
Friday,Jun,7,2019,2:42,N,MIA,8589
Saturday,Jun,8,2019,2:57,D,MIA,9771
Sunday,Jun,9,2019,4:26,D,MIA,10959
Monday,Jun,10,2019,2:49,N,MIA,6585
Tuesday,Jun,11,2019,3:12,N,MIA,6308
Wednesday,Jun,12,2019,2:34,N,MIA,7001
